rpm,torque_N_m,efficiency
7717.87709497,27.1207029384,0.412283135924
7765.36312849,27.1207029384,0.410330827261
7812.84916201,27.1207029384,0.408383309219
7860.33519553,27.1207029384,0.406440729266
7907.82122905,27.1207029384,0.404503230185
7955.30726257,27.1207029384,0.402570950173
8002.79329609,27.1207029384,0.400644022929
8050.27932961,27.1207029384,0.398722577745
8097.76536313,27.1207029384,0.3968067396
8145.25139665,27.1207029384,0.39489662924
8192.73743017,27.1207029384,0.392992363274
8240.22346369,27.1207029384,0.391094054253
8287.70949721,27.1207029384,0.389201810758
8335.19553073,27.1207029384,0.387315737483
8382.68156425,27.1207029384,0.385435935315
8430.16759777,27.1207029384,0.383562501416
8477.65363128,27.1207029384,0.381695529304
8525.1396648,27.1207029384,0.379835108929
8572.62569832,27.1207029384,0.377981326749
8620.11173184,27.1207029384,0.376134265812
8667.59776536,27.1207029384,0.374294005822
8715.08379888,27.1207029384,0.372460623222
8762.5698324,27.1207029384,0.370634191257
8810.05586592,27.1207029384,0.368814780054
8857.54189944,27.1207029384,0.367002456683
8905.02793296,27.1207029384,0.365197285237
8952.51396648,27.1207029384,0.363399326888
9000,27.1207029384,0.361608639962
500,40.1810544076,0.444677024081
547.48603352,40.1810544076,0.462631882057
594.972067039,40.1810544076,0.478849533329
642.458100559,40.1810544076,0.493560752973
689.944134078,40.1810544076,0.506956476182
737.430167598,40.1810544076,0.519196044473
784.916201117,40.1810544076,0.530413485465
832.402234637,40.1810544076,0.540722352394
879.888268156,40.1810544076,0.550219494551
927.374301676,40.1810544076,0.558988024374
974.860335196,40.1810544076,0.567099674041
1022.34636872,40.1810544076,0.574616683248
1069.83240223,40.1810544076,0.581593323476
1117.31843575,40.1810544076,0.588077137887
1164.80446927,40.1810544076,0.59410995685
1212.29050279,40.1810544076,0.599728735093
1259.77653631,40.1810544076,0.604966245981
1307.26256983,40.1810544076,0.60985166058
1354.74860335,40.1810544076,0.614411033205
1402.23463687,40.1810544076,0.618667710611
1449.72067039,40.1810544076,0.622642678474
1497.20670391,40.1810544076,0.626354856085
1544.69273743,40.1810544076,0.629821348074
1592.17877095,40.1810544076,0.633057660288
1639.66480447,40.1810544076,0.636077885646
1687.15083799,40.1810544076,0.638894864718
