mode,mach,altitude_ft,throttle,shaft_power_fraction,thrust_lbf,fuel_flow_lbm_s,fan1_speed_rpm,fan2_speed_rpm,fan1_shaft_power_hp,fan2_shaft_power_hp,fan_speed_delta_rpm,fan_speed_delta_fraction,fan_power_delta_hp,fan_power_delta_fraction,fan1_power_fraction,fan1_area_in2,fan2_area_in2,inlet_area_in2,nozzle_throat_area_in2,pycycle_point_name,pycycle_converged,pycycle_residual_norm,pycycle_solver_iterations,pycycle_solver_atol,pycycle_solver_rtol,pycycle_status,required_thrust_lbf,drag_lbf,required_thrust_to_weight,dynamic_pressure_lbf_ft2,velocity_ft_s,speed_of_sound_ft_s,lift_coefficient,parasite_cd0,wave_cd0,zero_lift_drag_coefficient,lift_dependent_k,induced_drag_coefficient,total_drag_coefficient,density_slug_ft3,temperature_R,pressure_psf,is_stall_limited,fan1_motor_terminal_hp,fan2_motor_terminal_hp,fan1_generator_electric_hp,fan2_generator_electric_hp,fan1_generator_shaft_hp,fan2_generator_shaft_hp,per_engine_motor_terminal_hp,per_engine_generator_electric_hp,per_engine_generator_shaft_hp,aircraft_motor_terminal_hp,aircraft_generator_electric_hp,aircraft_generator_shaft_hp,generator_shaft_power_hp,fan1_motor_efficiency,fan2_motor_efficiency,fan1_generator_efficiency,fan2_generator_efficiency,distribution_efficiency,inverter_efficiency,cable_efficiency,per_turbine_shaft_power_hp,per_turbine_shaft_power_kw,turboshaft_required_throttle,turboshaft_power_available_hp,turboshaft_fuel_flow_lb_hr_per_turbine,aircraft_turboshaft_fuel_flow_lb_hr,aircraft_turboshaft_fuel_flow_lbm_s,generator_turbine_freestream_mach,generator_turbine_deck_mach,generator_turbine_engine_face_mach,generator_turbine_pressure_recovery,generator_turbine_freestream_total_temperature_R,generator_turbine_freestream_total_pressure_psf,generator_turbine_total_temperature_R,generator_turbine_total_pressure_psf,generator_turbine_static_temperature_R,generator_turbine_static_pressure_psf,generator_turbine_density_slug_ft3,generator_turbine_velocity_ft_s,generator_turbine_corrected_airflow_lbm_s_per_turbine,generator_turbine_airflow_lbm_s_per_turbine,generator_turbine_engine_face_area_in2_per_turbine,aircraft_generator_turbine_engine_face_area_in2,turboshaft_status
fan,0.64,18250.0,0.35,0.35,989.1994363755578,0.0,3618.787898915322,3415.825695431853,1528.8097178145545,816.9099573019573,202.96220348346878,0.05608568646543327,711.899760512597,0.46565622406578067,0.6517444236974388,209.22887100936637,183.5491883032816,252.7117466431837,180.42860264527852,OD_mode1,True,,0,1e-06,1e-06,ok,3171.491405940814,3171.491405940814,0.11937880609254185,299.8150738373835,667.6368576862085,1043.1825901347006,0.2267636638932488,0.01900336419521624,0.0,0.01900336419521624,0.15688711123982116,0.008067411265530244,0.027070775460746484,0.0013452495335753566,452.82756577304497,1045.6719930154281,False,1654.08855823,863.506218863,1722.47064275,899.204643198,1791.31892484,934.712571839,2517.5947771,2621.67528595,2726.03149668,5035.18955419,5243.35057189,5452.06299336,2726.03149668,0.924261104525,0.94603830228,0.96156559218,0.962011927826,0.9603,0.97,0.99,2726.03149668,2032.80133701,22.4185799788,2781.66479097,2900.94134361,5801.88268722,1.61163407978,0.64,0.35,0.35,0.98,490.745474554,1377.82289083,490.745474554,1350.26643301,479.009736021,1240.58807389,0.00150874791512,375.523847249,81.139594471,53.224255523,420.44788292,840.895765841,ok
fan,0.64,18250.0,0.5,0.5,395.93819437077104,0.0,4075.6522009283526,3847.0664494449315,532.3129591088269,184.9890361206605,228.58575148342106,0.056085686465433375,347.3239229881665,0.6524806827352835,0.7421043892935545,209.22887100936637,183.5491883032816,198.65665422253122,118.00000000013871,OD_mode1,True,,7,1e-06,1e-06,ok,3171.491405940814,3171.491405940814,0.11937880609254185,299.8150738373835,667.6368576862085,1043.1825901347006,0.2267636638932488,0.01900336419521624,0.0,0.01900336419521624,0.15688711123982116,0.008067411265530244,0.027070775460746484,0.0013452495335753566,452.82756577304497,1045.6719930154281,False,555.73444619,197.956304096,578.709201489,206.140064663,607.003550163,229.928571001,753.690750286,784.849266152,836.932121163,1507.38150057,1569.6985323,1673.86424233,836.932121163,0.95785489411,0.934494291383,0.953386848123,0.896539580816,0.9603,0.97,0.99,836.932121163,624.100175275,,,,,,0.64,0.35,0.35,0.98,490.745474554,1377.82289083,490.745474554,1350.26643301,479.009736021,1240.58807389,0.00150874791512,375.523847249,81.139594471,53.224255523,420.44788292,840.895765841,"Required power 636.837 kW is outside available range [1200.931, 12012.164] kW at M=0.35, h=18250.0 ft."
fan,0.64,18250.0,0.7,0.7,629.1389630284554,0.0,4559.387048948254,4303.670696446386,789.2042148852083,343.6613394256702,255.71635250186864,0.05608568646543323,445.5428754595382,0.5645470045092745,0.6966441974354854,209.22887100936637,183.5491883032816,228.5050224648302,117.99999999999248,OD_mode1,True,,6,1e-06,1e-06,ok,3171.491405940814,3171.491405940814,0.11937880609254185,299.8150738373835,667.6368576862085,1043.1825901347006,0.2267636638932488,0.01900336419521624,0.0,0.01900336419521624,0.15688711123982116,0.008067411265530244,0.027070775460746484,0.0013452495335753566,452.82756577304497,1045.6719930154281,False,823.256935395,361.273164108,857.29140414,376.208647411,891.677112992,401.544438595,1184.5300995,1233.50005155,1293.22155159,2369.06019901,2467.0001031,2586.44310317,1293.22155159,0.95863658228,0.95125067004,0.961437039988,0.936904141238,0.9603,0.97,0.99,1293.22155159,964.355144946,,,,,,0.64,0.35,0.35,0.98,490.745474554,1377.82289083,490.745474554,1350.26643301,479.009736021,1240.58807389,0.00150874791512,375.523847249,81.139594471,53.224255523,420.44788292,840.895765841,"Required power 984.036 kW is outside available range [1200.931, 12012.164] kW at M=0.35, h=18250.0 ft."
fan,0.64,18250.0,0.85,0.85,788.7530179621305,0.0,4864.222397949646,4591.409145640104,964.3163172401026,485.2623845101319,272.8132523095419,0.056085686465433285,479.05393272997077,0.49678090494313637,0.6652390215693555,209.22887100936637,183.5491883032816,248.14609312809915,117.99999999999805,OD_mode1,True,,6,1e-06,1e-06,ok,3171.491405940814,3171.491405940814,0.11937880609254185,299.8150738373835,667.6368576862085,1043.1825901347006,0.2267636638932488,0.01900336419521624,0.0,0.01900336419521624,0.15688711123982116,0.008067411265530244,0.027070775460746484,0.0013452495335753566,452.82756577304497,1045.6719930154281,False,1006.04936851,507.407309823,1047.64070447,528.384161015,1087.56191554,555.828878913,1513.45667833,1576.02486549,1643.39079445,3026.91335666,3152.04973098,3286.7815889,1643.39079445,0.958517889308,0.956356708143,0.963292930275,0.950623799989,0.9603,0.97,0.99,1643.39079445,1225.47630438,20.1371441051,1676.92938115,2524.54051039,5049.08102078,1.40252250577,0.64,0.35,0.35,0.98,490.745474554,1377.82289083,490.745474554,1350.26643301,479.009736021,1240.58807389,0.00150874791512,375.523847249,81.139594471,53.224255523,420.44788292,840.895765841,ok
fan,0.64,18250.0,1.0,1.0,876.1852101501626,0.0,5135.0,4847.0,1038.1950396688594,614.1108565672934,288.0,0.0560856864654333,424.0841831015661,0.4084821896633518,0.6283310142715107,209.22887100936637,183.5491883032816,258.2071139213665,118.00000000003232,OD_mode1,True,,5,1e-06,1e-06,ok,3171.491405940814,3171.491405940814,0.11937880609254185,299.8150738373835,667.6368576862085,1043.1825901347006,0.2267636638932488,0.01900336419521624,0.0,0.01900336419521624,0.15688711123982116,0.008067411265530244,0.027070775460746484,0.0013452495335753566,452.82756577304497,1045.6719930154281,False,1082.57332494,640.803597027,1127.32825673,667.295217148,1169.90345053,697.270519559,1723.37692196,1794.62347388,1867.17397009,3446.75384393,3589.24694775,3734.34794018,1867.17397009,0.959006670269,0.958344896028,0.963607942361,0.957010512319,0.9603,0.97,0.99,1867.17397009,1392.35138972,20.6084002629,1905.27956025,2601.2260646,5202.4521292,1.44512559144,0.64,0.35,0.35,0.98,490.745474554,1377.82289083,490.745474554,1350.26643301,479.009736021,1240.58807389,0.00150874791512,375.523847249,81.139594471,53.224255523,420.44788292,840.895765841,ok
fan,0.93,34999.99999999999,0.35,0.35,127.53645448935909,0.0,3618.787898915322,3415.825695431853,239.93719947989732,65.80357856197897,202.96220348346878,0.05608568646543327,174.13362091791834,0.7257466591065542,0.7847733004952121,209.22887100936637,183.5491883032816,180.81355021524746,117.99999999484555,OD_mode1,True,,8,1e-06,1e-06,ok,3186.953913433967,3186.953913433967,0.11996083374056635,301.40489413923456,908.8392190163017,977.2464720605395,0.22556755366547968,0.01879058852712164,0.00047911714677414784,0.019269705673895788,0.1530946483210333,0.007789566128635096,0.027059271802530885,0.0007298038921453831,397.3931879592512,497.836073764489,False,253.343101013,75.8819665785,263.816620861,79.0190217416,288.034841816,102.201840766,329.225067591,342.835642603,390.236682582,658.450135183,685.671285205,780.473365164,390.236682582,0.947084007895,0.867183357641,0.915919126997,0.773166326063,0.9603,0.97,0.99,390.236682582,290.999444088,,,,,,0.93,0.35,0.35,0.98,461.983334112,870.378771864,461.983334112,852.971196427,450.93541641,783.686736026,0.00101242199586,364.353146462,81.139594471,34.6528921746,420.44788292,840.895765841,"Required power 296.938 kW is outside available range [859.744, 8595.709] kW at M=0.35, h=34999.99999999999 ft."
fan,0.93,34999.99999999999,0.5,0.5,223.80355355497224,0.0,4075.6522009283526,3847.0664494449315,362.30291733162613,133.00068406978065,228.58575148342106,0.056085686465433375,229.30223326184546,0.632901978683099,0.7314764445615377,209.22887100936637,183.5491883032816,205.62218791347462,117.9999999999805,OD_mode1,True,,6,1e-06,1e-06,ok,3186.953913433967,3186.953913433967,0.11996083374056635,301.40489413923456,908.8392190163017,977.2464720605395,0.22556755366547968,0.01879058852712164,0.00047911714677414784,0.019269705673895788,0.1530946483210333,0.007789566128635096,0.027059271802530885,0.0007298038921453831,397.3931879592512,497.836073764489,False,379.84013445,145.250099239,395.543199468,151.254919545,421.108785453,174.724483601,525.090233688,546.798119013,595.833269054,1050.18046738,1093.59623803,1191.66653811,595.833269054,0.953830004975,0.915666734597,0.939289829926,0.8656767296,0.9603,0.97,0.99,595.833269054,444.312792218,,,,,,0.93,0.35,0.35,0.98,461.983334112,870.378771864,461.983334112,852.971196427,450.93541641,783.686736026,0.00101242199586,364.353146462,81.139594471,34.6528921746,420.44788292,840.895765841,"Required power 453.380 kW is outside available range [859.744, 8595.709] kW at M=0.35, h=34999.99999999999 ft."
fan,0.93,34999.99999999999,0.7,0.7,356.1177684836665,0.0,4559.387048948254,4303.670696446386,537.7302813405728,248.7870138354072,255.71635250186864,0.05608568646543323,288.9432675051656,0.5373386575604855,0.6836852598648296,209.22887100936637,183.5491883032816,238.20120365850684,117.99999999999801,OD_mode1,True,,6,1e-06,1e-06,ok,3186.953913433967,3186.953913433967,0.11996083374056635,301.40489413923456,908.8392190163017,977.2464720605395,0.22556755366547968,0.01879058852712164,0.00047911714677414784,0.019269705673895788,0.1530946483210333,0.007789566128635096,0.027059271802530885,0.0007298038921453831,397.3931879592512,497.836073764489,False,561.467147937,264.448559365,584.678900278,275.381192716,613.079084549,299.697278528,825.915707302,860.060092994,912.776363077,1651.8314146,1720.12018599,1825.55272615,912.776363077,0.957723498724,0.940776589719,0.953676148824,0.918864509109,0.9603,0.97,0.99,912.776363077,680.65721673,,,,,,0.93,0.35,0.35,0.98,461.983334112,870.378771864,461.983334112,852.971196427,450.93541641,783.686736026,0.00101242199586,364.353146462,81.139594471,34.6528921746,420.44788292,840.895765841,"Required power 694.548 kW is outside available range [859.744, 8595.709] kW at M=0.35, h=34999.99999999999 ft."
fan,0.93,34999.99999999999,0.85,0.85,428.74074743830306,0.0,4864.222397949646,4591.409145640104,624.2670291611878,343.42619986686657,272.8132523095419,0.056085686465433285,280.84082929432117,0.44987291683765535,0.6451083984417232,209.22887100936637,183.5491883032816,255.00274710586373,118.0000050567419,OD_mode1,True,,5,1e-06,1e-06,ok,3186.953913433967,3186.953913433967,0.11996083374056635,301.40489413923456,908.8392190163017,977.2464720605395,0.22556755366547968,0.01879058852712164,0.00047911714677414784,0.019269705673895788,0.1530946483210333,0.007789566128635096,0.027059271802530885,0.0007298038921453831,397.3931879592512,497.836073764489,False,651.327696745,361.987999406,678.254396277,376.953034891,708.454160005,402.297468607,1013.31569615,1055.20743117,1110.75162861,2026.6313923,2110.41486234,2221.50325722,1110.75162861,0.958453067912,0.948722610778,0.957372310825,0.937000762636,0.9603,0.97,0.99,1110.75162861,828.287346815,,,,,,0.93,0.35,0.35,0.98,461.983334112,870.378771864,461.983334112,852.971196427,450.93541641,783.686736026,0.00101242199586,364.353146462,81.139594471,34.6528921746,420.44788292,840.895765841,"Required power 845.191 kW is outside available range [859.744, 8595.709] kW at M=0.35, h=34999.99999999999 ft."
fan,0.93,34999.99999999999,1.0,1.0,458.8228586278628,0.0,5135.0,4847.0,654.7365108719812,407.3508210725642,288.0,0.0560856864654333,247.385689799417,0.37784007106911993,0.6164620282903128,209.22887100936637,183.5491883032816,260.93574846242694,118.0000000002344,OD_mode1,True,,5,1e-06,1e-06,ok,3186.953913433967,3186.953913433967,0.11996083374056635,301.40489413923456,908.8392190163017,977.2464720605395,0.22556755366547968,0.01879058852712164,0.00047911714677414784,0.019269705673895788,0.1530946483210333,0.007789566128635096,0.027059271802530885,0.0007298038921453831,397.3931879592512,497.836073764489,False,683.293117799,428.266349825,711.541307716,445.971415001,742.445212958,472.188482896,1111.55946762,1157.51272272,1214.63369585,2223.11893525,2315.02544543,2429.26739171,1214.63369585,0.958207383942,0.951162334465,0.958375507441,0.944477536313,0.9603,0.97,0.99,1214.63369585,905.752191017,20.2496506393,1239.42213793,2414.98631765,4829.97263529,1.34165906536,0.93,0.35,0.35,0.98,461.983334112,870.378771864,461.983334112,852.971196427,450.93541641,783.686736026,0.00101242199586,364.353146462,81.139594471,34.6528921746,420.44788292,840.895765841,ok
