mode,mach,altitude_ft,throttle,thrust_lbf,fuel_flow_lbm_s,fan1_speed_rpm,fan2_speed_rpm,fan1_shaft_power_hp,fan2_shaft_power_hp,fan_speed_delta_rpm,fan_speed_delta_fraction,fan_power_delta_hp,fan_power_delta_fraction,fan1_power_fraction,fan1_area_in2,fan2_area_in2,inlet_area_in2,nozzle_throat_area_in2,pycycle_point_name,pycycle_converged,pycycle_residual_norm,pycycle_solver_iterations,pycycle_solver_atol,pycycle_solver_rtol,pycycle_status,required_thrust_lbf,drag_lbf,required_thrust_to_weight,dynamic_pressure_lbf_ft2,velocity_ft_s,speed_of_sound_ft_s,lift_coefficient,parasite_cd0,wave_cd0,zero_lift_drag_coefficient,lift_dependent_k,induced_drag_coefficient,total_drag_coefficient,density_slug_ft3,temperature_R,pressure_psf,is_stall_limited
ramjet,3.0,74999.99999999999,1.0,7229.583969182568,5.382462197526067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1156.5056748641841,818.8975595380317,OD_mode3,True,2.164372048529608e-07,1,1e-06,1e-06,residual_pass,7229.583986545798,7229.583986545798,0.19474838387881313,459.6612050589262,2921.230309387359,973.7434364624529,0.1699774194934226,0.012902229952807789,0.01490768716510881,0.027809917117916597,0.1831943592456414,0.005292910624318522,0.03310282774223512,0.000107729898342648,394.54930466951697,72.9620960410994,False
ramjet,3.0,79999.99999999999,1.0,6485.459237773609,4.8452965049165595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1324.0022288127168,934.6527340137685,OD_mode3,True,1.6821996495184833e-07,1,1e-06,1e-06,residual_pass,6485.4592539837995,6485.4592539837995,0.17470337308145706,362.8546979578669,2928.632146440998,976.2107154803326,0.2153259305084858,0.013377412348153123,0.01490768716510881,0.028285099513261934,0.20129440864410855,0.009333066858473954,0.03761816637173589,8.461222096661496e-05,396.55126220562926,57.59598380283603,False
fan_ab,1.9,44999.99999999999,1.0,4568.716626185046,2.270581129207526,6000.0,6000.0,1750.5595317796679,1346.7177439275567,0.0,0.0,403.8417878521113,0.23069297588614676,0.5651930311534507,209.22887101158997,183.54918830523053,244.83262930001644,246.00069372516384,OD_mode2,True,2.465059782405876e-07,5,1e-06,1e-06,residual_pass,13828.447616742154,13828.447616742154,0.3725066103284973,777.5026631778661,1837.3159791101707,967.0084100579846,0.10049100688325142,0.014613042681908498,0.021247886077666117,0.03586092875957461,0.15573050879336695,0.0015726355830030627,0.03743356434257768,0.00046064268175998537,389.11027401585636,307.6781413446246,False
fan,0.8,9999.999999999998,1.0,1125.984550113832,0.0,5135.0,4847.0,1641.5044009318694,831.9189027189074,288.0,0.0560856864654333,809.5854982129621,0.49319727547082215,0.6636568833604043,209.22887101158997,183.54918830523053,248.65312479597253,118.00000000000006,OD_mode1,True,3.6150118416895144e-10,7,1e-06,1e-06,residual_pass,5939.377017648773,5939.377017648773,0.1599931721640753,651.939265258998,862.7912420996037,1078.4890526245044,0.11984555869036893,0.017136347466450225,0.0,0.017136347466450225,0.1419013859835196,0.00203812363819776,0.019174471104647987,0.0017515626562947966,483.9981235250665,1455.2215742388348,False
fan,0.525,5750.0,1.0,1364.394026240083,0.0,5135.0,4847.0,1551.5876410416297,829.5743020368923,288.0,0.0560856864654333,722.0133390047374,0.46533841847311125,0.6516094571189205,209.22887101158997,183.54918830523053,252.76660600705353,117.99999999966995,OD_mode1,True,7.157994276332044e-09,4,1e-06,1e-06,residual_pass,4287.969796879638,4287.969796879638,0.11550805545900578,330.28520649664983,574.8342003063423,1094.9222862977947,0.23655926435792626,0.018433856640546475,0.0,0.018433856640546475,0.1588741711787847,0.008890643986250479,0.027324500626796956,0.00199909723685308,498.860120034352,1711.876677663232,False
fan,0.25,1500.0,1.0,1799.4868706651132,0.0,5135.0,4847.0,1578.8067999870825,858.0688446556982,288.0,0.0560856864654333,720.7379553313843,0.4565080131003244,0.6478815623841644,209.22887101158997,183.54918830523053,254.03853993065698,118.00000000000001,OD_mode1,True,7.074090482687894e-09,4,1e-06,1e-06,residual_pass,12628.168906371931,12628.168906371931,0.34017385930385213,87.67390340285324,277.71344566771995,1110.8537826708798,0.8911662700603625,0.020519756203106036,0.0,0.020519756203106036,0.35587985923199034,0.28263171316474645,0.3031514693678525,0.002273560543104714,513.4829080914114,2003.97493492236,False
fan,0.2,1500.0,1.0,1868.967607622364,0.0,5135.0,4847.0,1556.8667993411177,851.5885934618783,288.0,0.0560856864654333,705.2782058792394,0.4530112699286288,0.6464171202810666,209.22887101158997,183.54918830523053,254.5365648232522,117.99999999522964,OD_mode1,True,6.129016300991487e-07,2,1e-06,1e-06,residual_pass,20319.758213937963,20319.758213937963,0.5473676051536369,56.111298177826086,222.170756534176,1110.8537826708798,1.392447296969316,0.021236662998203985,0.0,0.021236662998203985,0.38214464824809635,0.7409438792465456,0.7621805422447496,0.002273560543104714,513.4829080914114,2003.97493492236,False
fan,0.1,750.0,1.0,2080.5025589804914,0.0,5135.0,4847.0,1567.3169573999216,858.326798350773,288.0,0.0560856864654333,708.9901590491486,0.45235914516315695,0.6461447414461174,209.22887101158997,183.54918830523053,254.62310588047845,118.00000006164177,OD_mode1,True,1.3652851369167738e-08,3,1e-06,1e-06,residual_pass,77790.37178596089,77790.37178596089,2.0954939059897644,14.416329499806565,111.36508844414182,1113.6508844414182,5.419689212722393,0.02352886417843643,0.0,0.02352886417843643,0.38584362610519884,11.3333968534398,11.356925717618235,0.0023248051669976346,516.0720376635943,2059.47564282951,True
fan,0.225,4999.999999999999,1.0,1643.7834856469228,0.0,5135.0,4847.0,1381.545840085662,782.8509332417715,288.0,0.0560856864654333,598.6949068438903,0.4333514599897522,0.6383052576638911,209.22887101158997,183.54918830523053,256.52866471688174,117.99999999999943,OD_mode1,True,2.829199214479243e-09,5,1e-06,1e-06,residual_pass,18369.679763360058,18369.679763360058,0.4948369716630095,62.396450108019174,246.99503072770017,1097.7556921231119,1.252187028939836,0.02115783187418454,0.0,0.02115783187418454,0.38168441133784486,0.5984706054821052,0.6196284373562897,0.002045565759516215,501.44533006940344,1760.746387527878,False
fan,0.45,9999.999999999998,1.0,1228.443568685947,0.0,5135.0,4847.0,1264.234754901201,725.142851767686,288.0,0.0560856864654333,539.0919031335151,0.4264175629119171,0.635492603648082,209.22887101158997,183.54918830523053,256.9152927161755,117.99999999999993,OD_mode1,True,2.1514115459175735e-11,4,1e-06,1e-06,residual_pass,4802.9794284838,4802.9794284838,0.12938123178887287,206.27765814835476,485.320073681027,1078.4890526245044,0.37877114845351184,0.019290728476415192,0.0,0.019290728476415192,0.20712100026898897,0.0297151492765862,0.049005877753001394,0.0017515626562947966,483.9981235250665,1455.2215742388348,False
fan,0.35,5750.0,1.0,1482.850649541502,0.0,5135.0,4847.0,1412.8895525119676,788.5805572151468,288.0,0.0560856864654333,624.3089952968209,0.4418668070599473,0.6417936570063647,209.22887101158997,183.54918830523053,255.93049768503823,117.99999999992858,OD_mode1,True,1.049041875371647e-08,4,1e-06,1e-06,residual_pass,6599.6299427113745,6599.6299427113745,0.1777788691483683,146.79342510962212,383.2228002042281,1094.9222862977947,0.5322583448053342,0.019786826067797084,0.0,0.019786826067797084,0.2641642749641697,0.07483746056647751,0.0946242866342746,0.00199909723685308,498.860120034352,1711.876677663232,False
