# t4max: 50.0
# t4cruise: 46.67
# t4climb: 48.33
# t4flight_idle: 20.0
# xsfc: 0.0
# cexp: 0.0
# sls_horsepower: 1120.0
# freeturbine_rpm: 24539.0
# propeller_rpm: 1210.0
# gearbox_ratio: 0.049308
# torque_limit: 4861.4
# sls_corrected_airflow: 7.9568
# altitude_extension_method: ISA density-lapse extrapolation from highest source altitude
# source_altitude_max_ft: 25000.0
# expanded_altitude_max_ft: 100000.0
# altitude_lapse_exponent: 1.0
mach,altitude_ft,throttle,shaft_power_hp,tailpipe_thrust_lbf,fuel_flow_lb_hr
0.0,55000.0,42.0,307.25184270199566,37.78511653956064,183.60365252260226
0.0,55000.0,44.0,331.7831572280827,39.70290274213909,193.4872371336898
0.0,55000.0,46.0,355.95383498393977,42.2110646945014,204.02130362293286
0.0,55000.0,48.0,379.98292941518804,45.331507741209705,215.93033119097117
0.0,55000.0,50.0,404.2871763452044,47.844478183841744,225.0640584583287
0.0,60000.0,20.0,31.846884710289455,8.844022732870622,83.79764057344633
0.0,60000.0,22.0,50.82708181094488,10.693221756876328,81.05788417244636
0.0,60000.0,24.0,69.89845007231446,12.521413600993979,82.92710303888538
0.0,60000.0,26.0,88.97486005685718,14.332526607862643,87.81337308084669
0.0,60000.0,28.0,107.89707734102157,16.14256824855702,93.81092293888602
0.0,60000.0,30.0,126.79933780429232,17.919124444509833,100.26726960568047
0.0,60000.0,32.0,146.03813328936968,19.54262232779829,106.80932556641815
0.0,60000.0,34.0,165.22378060933028,21.356319217793185,113.96416096449038
0.0,60000.0,36.0,184.27099061382862,23.432668877928418,121.69984488646729
0.0,60000.0,38.0,203.67091116864734,25.249369794647304,128.8053134118026
0.0,60000.0,40.0,222.57107091392928,27.20429795502958,136.67271235167757
0.0,60000.0,42.0,241.6161802004388,29.713395520858718,144.38192722699554
0.0,60000.0,44.0,260.9070734916385,31.221500965022095,152.15416364197768
0.0,60000.0,46.0,279.91436985434956,33.19386508471146,160.4379248872339
0.0,60000.0,48.0,298.8103281636539,35.64771376743502,169.80292568132822
0.0,60000.0,50.0,317.9226604258052,37.62385917950423,176.98549055685268
0.0,65000.0,20.0,25.04369889962556,6.95474751764008,65.89664571939733
0.0,65000.0,22.0,39.96931393445451,8.408917493258379,63.7421607520562
0.0,65000.0,24.0,54.96662399119928,9.846567878573493,65.21207389723342
0.0,65000.0,26.0,69.96789874961681,11.270787836972119,69.05453060175383
0.0,65000.0,28.0,84.84791971520897,12.694165296265284,73.77087363331259
0.0,65000.0,30.0,99.71224707001312,14.091210528615173,78.84800451709287
0.0,65000.0,32.0,114.84121826147425,15.367894026016073,83.99253532931016
0.0,65000.0,34.0,129.92839488946834,16.79414589402199,89.61894259067128
0.0,65000.0,36.0,144.90670741736446,18.42694219958861,95.70211652391544
0.0,65000.0,38.0,160.162383866451,19.855556369007882,101.28970274806407
0.0,65000.0,40.0,175.0250592622248,21.3928694426221,107.47645451250918
0.0,65000.0,42.0,190.0017198310906,23.365969308434284,113.5388137619713
0.0,65000.0,44.0,205.17165960650362,24.5519106962998,119.65073178234299
0.0,65000.0,46.0,220.11858491282368,26.10293502986566,126.16490182659717
0.0,65000.0,48.0,234.9779563905369,28.032588373180477,133.5293351837562
0.0,65000.0,50.0,250.00747964837285,29.586586233000908,139.17754830431753
0.0,70000.0,20.0,19.58578721337759,5.439060960970953,51.535425589817415
0.0,70000.0,22.0,31.25858048854829,6.576315638432687,49.850479436539906
0.0,70000.0,24.0,42.987443893340405,7.700650931189028,51.00004628762588
0.0,70000.0,26.0,54.719407950461814,8.814482764179882,54.005095170100574
0.0,70000.0,28.0,66.35654372384563,9.927655708550763,57.693579503490604
0.0,70000.0,30.0,77.98140608175932,11.020235153701242,61.66422319884646
0.0,70000.0,32.0,89.81323698265342,12.018683961888222,65.68757798380032
0.0,70000.0,34.0,101.61238184024288,13.13410487919784,70.08779122061053
0.0,70000.0,36.0,113.32638795262379,14.411056863479002,74.84522544452489
0.0,70000.0,38.0,125.25731053420827,15.52832525280149,79.21507812727741
0.0,70000.0,40.0,136.88088095365143,16.730603193485475,84.05351689329459
0.0,70000.0,42.0,148.5935951275618,18.273694502697754,88.79467269248015
0.0,70000.0,44.0,160.45746610252527,19.201177130698003,93.57458664578189
0.0,70000.0,46.0,172.14692538396594,20.414178160687463,98.66908761665998
0.0,70000.0,48.0,183.76791192646803,21.923291488124562,104.4285493183247
0.0,70000.0,50.0,195.52196813143564,23.13861800736099,108.84581614294603
0.0,75000.0,20.0,15.330185731351389,4.257261340962358,40.33780401211127
0.0,75000.0,22.0,24.466713508484165,5.147413227092747,39.01896309978749
0.0,75000.0,24.0,33.64712849278981,6.027452853505885,39.91875196942842
0.0,75000.0,26.0,42.829970419427596,6.899271212768897,42.27086357966083
0.0,75000.0,28.0,51.93858835974077,7.770573846786332,45.157913728935775
0.0,75000.0,30.0,61.03759965332255,8.625757538814469,48.265815630435476
0.0,75000.0,32.0,70.29860934757468,9.40726330654272,51.41497555158155
0.0,75000.0,34.0,79.53403502474215,10.280325473750956,54.85911008867981
